,AuthorAffiliation,Year,A,B,C,D,E,F,G,H,I,J,K,O,Total,Range
22424,Berlin Institute of Technology Berlin Germany,2002,0,0,0,0,0,0,0,1,0,0,3,0,4,3.3000000000000003
22425,University of Pretoria,2002,1,0,0,2,0,0,1,3,2,0,0,0,12,3.3000000000000003
22426,Russian Academy of Sciences,2002,0,0,0,1,0,0,2,0,0,0,0,0,9,2.2
22427,Haifa University Haifa Israel,2002,0,4,0,0,0,0,0,4,0,0,0,0,11,4.4
22428,Florida State University,2002,0,0,1,3,0,0,0,8,2,1,1,0,16,8.8
22429,Xerox Research Centre Europe 6 chemin de Maupertuis 38240 Meylan France,2002,0,0,0,0,0,0,0,1,1,0,0,0,3,1.1
22430,Staffordshire University UK,2002,0,0,0,0,0,0,0,0,0,1,0,0,2,1.1
22431,Department of Computer Science Ben Gurion University Beer Sheva Israel,2002,0,0,2,0,0,0,0,0,0,0,0,0,2,2.2
22432,Center for Human Computer Interaction Blacksburg VA,2002,0,0,0,1,0,0,0,0,0,1,0,0,3,1.1
22433,Aligarh Muslim University,2002,0,0,0,0,0,0,2,0,0,0,0,0,2,2.2
22434,National Technical University of Athens,2002,0,1,1,2,3,0,1,8,0,0,0,0,20,8.8
22435,Yamagata University,2002,0,0,0,0,4,1,1,0,0,0,0,0,8,4.4
22436,Humboldt University Berlin Berlin Germany,2002,0,0,0,0,0,2,0,0,0,0,0,0,2,2.2
22437,Department of Electr &amp Computer Eng California University Davis CA,2002,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
22438,Silicon Defence 513 2nd Street Eureka CA,2002,0,0,0,0,2,0,0,0,0,0,0,0,2,2.2
22439,University of Lethbridge,2002,0,1,0,0,0,1,2,0,0,0,0,0,4,2.2
22440,INSA Lyon LIRIS CNRS UMR 5205 Villeurbanne France,2002,0,0,0,0,0,0,1,3,0,0,0,0,5,3.3000000000000003
22441,CNRS ENS Lyon INRIA UCBL U Lyon Lyon France,2002,0,0,0,0,0,0,1,0,0,0,0,0,2,1.1
22442,University of Nantes,2002,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
22443,Wroclaw University of Technology,2002,0,0,0,0,1,1,0,1,1,0,0,0,4,1.1
22444,IBM Systems and Technology Group Hopewell Junction NY,2002,0,3,0,0,0,1,0,0,0,0,0,0,9,3.3000000000000003
22445,Fujitsu,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22446,Sandbridge Technologies Inc White Plains NY,2002,0,0,0,0,0,0,0,1,1,0,0,0,2,1.1
22447,Universit di Genova,2002,0,0,0,2,0,4,1,0,2,0,0,0,12,4.4
22448,LSV ENS Cachan CNRS Cachan France,2002,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
22449,Xidian University,2002,0,1,0,0,0,0,0,0,1,0,0,0,3,1.1
22450,Hong Kong Baptist University,2002,2,0,0,0,0,0,3,0,4,0,0,0,10,4.4
22451,Scuola Superiore Sant Anna,2002,0,0,6,0,0,0,2,0,2,0,0,0,10,6.6000000000000005
22452,Sophia University,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22453,Central Washington University Ellensburg WA,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22454,University of Arkansas at Little Rock,2002,0,0,1,0,1,0,4,1,0,0,2,0,10,4.4
22455,Universitat Rovira I Virgili,2002,0,0,3,0,0,6,1,4,0,1,0,0,18,6.6000000000000005
22456,Center for Strategic Technology Research Northbrook IL,2002,0,0,0,0,0,0,0,1,0,0,0,0,4,1.1
22457,Mexican Petroleum Institute Mexico DF Mexico,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
22458,SUNY Geneseo,2002,0,1,0,0,0,0,0,0,0,0,2,0,4,2.2
22459,LSI Logic Corporation Milpitas CA,2002,0,1,1,0,0,0,0,0,0,0,0,0,3,1.1
22460,University of Kaiserslautern,2002,0,1,0,3,1,0,0,3,8,0,0,0,24,8.8
22461,902 Miller Avenue Ann Arbor MI,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22462,Human Communications Tech Lab Vancouver BC Canada,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22463,Qualcomm Inc Campbell CA,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22464,University of Wisconsin Parkside Kenosha WI,2002,0,0,0,2,0,0,0,0,0,0,0,0,3,2.2
22465,Motorola Labs Schaumburg IL,2002,0,1,2,0,2,0,0,0,0,0,0,0,5,2.2
22466,AT&T Bell Laboratories West Long Branch New Jersey,2002,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1
22467,Tellium Inc Oceanport NJ,2002,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1
22468,Amirkabir University of Technology,2002,0,0,0,0,0,0,5,0,0,0,0,0,7,5.5
22469,Macalester College St Paul MN USA,2002,0,0,0,0,0,1,1,0,0,0,0,0,4,1.1
22470,Santa Clara University,2002,0,1,1,3,0,0,0,0,0,0,0,0,8,3.3000000000000003
22471,Stelex San Juan Puerto Rico,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22472,Penn State Harrisburg Middletown PA,2002,0,0,0,1,0,0,0,0,0,0,0,0,3,1.1
22473,James Madison University Harrisonburg VA,2002,0,0,0,0,0,0,0,0,1,0,0,0,2,1.1
22474,Gustavus Adolphus College St Peter MN,2002,0,0,0,1,0,0,0,0,0,0,0,0,2,1.1
22475,Department of Mathematics Second University of Naples Caserta Italy,2002,0,0,0,2,0,0,0,0,0,0,0,0,2,2.2
22476,STMicroelectronics,2002,0,0,1,0,0,0,0,0,0,0,0,0,3,1.1
22477,Federal University of Amazonas,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22478,California State Polytechnic University Pomona CA,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
22479,Rochester Institute of Technology,2002,0,0,0,0,0,2,0,0,0,0,0,0,6,2.2
22480,Tokyo University of Agriculture and Technology,2002,0,0,1,0,0,0,0,1,0,0,0,0,2,1.1
22481,Oracle Corp Sandy UT,2002,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
22482,NASA Glenn Research Center Lewis Field Cleveland OH,2002,0,0,0,0,0,0,0,0,2,1,0,0,3,2.2
22483,University of KoblenzLandau,2002,0,0,0,2,0,0,0,0,0,0,0,0,2,2.2
22484,Colby College & Soar Technology Waterville ME,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
22485,Altarum Institute,2002,0,0,0,2,0,0,0,1,11,0,1,0,25,12.100000000000001
22486,ENS Lyon France,2002,0,0,1,0,0,3,3,0,1,0,0,0,8,3.3000000000000003
22487,Kanagawa University,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22488,School of Electr Computer & Telecommun Eng Wollongong University NSW Australia,2002,0,0,0,1,0,0,0,0,1,0,0,0,5,1.1
22489,Concordia University,2002,0,1,2,0,1,1,1,1,3,0,0,0,15,3.3000000000000003
22490,Books With a Past LLC Glenwood Maryland,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22491,ASML Netherlands BV DR Veldhoven The Netherlands,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22492,Howard University,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22493,South China University of Technology,2002,0,0,0,0,0,1,1,0,1,0,0,0,3,1.1
22494,Zayed University,2002,0,0,0,0,0,0,0,2,0,0,0,0,2,2.2
22495,University of Porto,2002,0,0,0,0,0,0,2,0,0,0,0,0,4,2.2
22496,University of Science and Technology of China,2002,0,0,0,0,0,0,1,0,2,0,0,0,4,2.2
22497,Universit Paul Sabatier,2002,1,0,0,2,0,0,0,1,10,0,0,0,24,11.0
22498,Aptima Inc Washington USA DC 20036,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22499,The RAND Corporation Santa Monica California,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22500,University of Wollongong,2002,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
22501,Macquarie University,2002,0,0,1,0,1,0,1,0,1,0,0,0,12,1.1
22502,University of Alaska Anchorage Anchorage AK,2002,0,0,1,0,0,0,0,0,0,1,0,0,2,1.1
22503,Industrial computer science department instituto de automtica industrial csic la povedaarganda del rey 28500 madrid spain,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
22504,Masaryk University,2002,0,0,0,0,0,2,1,0,0,0,0,0,6,2.2
22505,University of KwaZuluNatal,2002,0,0,0,0,0,0,4,0,0,0,0,0,5,4.4
22506,Federal University of Goias,2002,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
22507,OFFIS Research Institute 26121 Oldenburg Germany,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22508,OGI School of Science and Engineering at OHSU,2002,0,0,0,2,0,0,0,3,2,0,8,0,15,8.8
22509,ICSI,2002,0,0,4,0,0,0,0,1,0,0,0,0,8,4.4
22510,Willamette University,2002,0,0,0,0,0,0,0,0,0,0,3,0,3,3.3000000000000003
22511,Irisa Enssat University of Rennes 1 Technopole Anticipa Lannion Cedex France 22305,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22512,Heinrich Heine University Dsseldorf Germany,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22513,University of Plymouth Plymouth UK,2002,0,0,0,0,0,0,0,1,0,3,1,0,6,3.3000000000000003
22514,Indian Statistical Institute,2002,0,1,0,0,1,2,1,1,6,0,0,0,12,6.6000000000000005
22515,Loughborough University UK,2002,0,0,0,3,0,0,0,2,1,0,3,0,15,3.3000000000000003
22516,University of Arkansas Fayetteville,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
22517,University of Baltimore Baltimore MD,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
22518,Independent Scholar,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22519,Faculty of Engineering and Natural Sciences Sabanc University Istanbul Turkey,2002,0,0,1,0,0,0,2,0,1,0,0,0,6,2.2
22520,MCC Austin TX,2002,0,0,0,0,0,0,1,4,0,0,0,0,5,4.4
22521,University of Tennessee,2002,0,0,10,0,0,0,3,2,1,1,0,0,18,11.0
22522,University of Zaragoza,2002,0,0,0,0,0,0,0,0,3,0,0,0,3,3.3000000000000003
22523,Agere Systems Allentown PA,2002,0,2,0,1,0,0,0,0,0,0,0,0,3,2.2
22524,Towson University,2002,0,0,0,0,0,1,0,1,1,0,4,0,10,4.4
